CountryCode,IncomeGroup,IncomeGroupID
ABW,High income,HIGH_INCOME
AFG,Low income,LOW_INCOME
AGO,Lower middle income,LOWER_MIDDLE_INCOME
ALB,Upper middle income,UPPER_MIDDLE_INCOME
AND,High income,HIGH_INCOME
ARB,,
ARE,High income,HIGH_INCOME
ARG,High income,HIGH_INCOME
ARM,Upper middle income,UPPER_MIDDLE_INCOME
ASM,Upper middle income,UPPER_MIDDLE_INCOME
ATG,High income,HIGH_INCOME
AUS,High income,HIGH_INCOME
AUT,High income,HIGH_INCOME
AZE,Upper middle income,UPPER_MIDDLE_INCOME
BDI,Low income,LOW_INCOME
BEL,High income,HIGH_INCOME
BEN,Low income,LOW_INCOME
BFA,Low income,LOW_INCOME
BGD,Lower middle income,LOWER_MIDDLE_INCOME
BGR,Upper middle income,UPPER_MIDDLE_INCOME
BHR,High income,HIGH_INCOME
BHS,High income,HIGH_INCOME
BIH,Upper middle income,UPPER_MIDDLE_INCOME
BLR,Upper middle income,UPPER_MIDDLE_INCOME
BLZ,Upper middle income,UPPER_MIDDLE_INCOME
BMU,High income,HIGH_INCOME
BOL,Lower middle income,LOWER_MIDDLE_INCOME
BRA,Upper middle income,UPPER_MIDDLE_INCOME
BRB,High income,HIGH_INCOME
BRN,High income,HIGH_INCOME
BTN,Lower middle income,LOWER_MIDDLE_INCOME
BWA,Upper middle income,UPPER_MIDDLE_INCOME
CAF,Low income,LOW_INCOME
CAN,High income,HIGH_INCOME
CEB,,
CHE,High income,HIGH_INCOME
CHI,High income,HIGH_INCOME
CHL,High income,HIGH_INCOME
CHN,Upper middle income,UPPER_MIDDLE_INCOME
CIV,Lower middle income,LOWER_MIDDLE_INCOME
CMR,Lower middle income,LOWER_MIDDLE_INCOME
COD,Low income,LOW_INCOME
COG,Lower middle income,LOWER_MIDDLE_INCOME
COL,Upper middle income,UPPER_MIDDLE_INCOME
COM,Low income,LOW_INCOME
CPV,Lower middle income,LOWER_MIDDLE_INCOME
CRI,Upper middle income,UPPER_MIDDLE_INCOME
CSS,,
CUB,Upper middle income,UPPER_MIDDLE_INCOME
CUW,High income,HIGH_INCOME
CYM,High income,HIGH_INCOME
CYP,High income,HIGH_INCOME
CZE,High income,HIGH_INCOME
DEU,High income,HIGH_INCOME
DJI,Lower middle income,LOWER_MIDDLE_INCOME
DMA,Upper middle income,UPPER_MIDDLE_INCOME
DNK,High income,HIGH_INCOME
DOM,Upper middle income,UPPER_MIDDLE_INCOME
DZA,Upper middle income,UPPER_MIDDLE_INCOME
EAP,,
EAR,,
EAS,,
ECA,,
ECS,,
ECU,Upper middle income,UPPER_MIDDLE_INCOME
EGY,Lower middle income,LOWER_MIDDLE_INCOME
EMU,,
ERI,Low income,LOW_INCOME
ESP,High income,HIGH_INCOME
EST,High income,HIGH_INCOME
ETH,Low income,LOW_INCOME
EUU,,
FCS,,
FIN,High income,HIGH_INCOME
FJI,Upper middle income,UPPER_MIDDLE_INCOME
FRA,High income,HIGH_INCOME
FRO,High income,HIGH_INCOME
FSM,Lower middle income,LOWER_MIDDLE_INCOME
GAB,Upper middle income,UPPER_MIDDLE_INCOME
GBR,High income,HIGH_INCOME
GEO,Lower middle income,LOWER_MIDDLE_INCOME
GHA,Lower middle income,LOWER_MIDDLE_INCOME
GIB,High income,HIGH_INCOME
GIN,Low income,LOW_INCOME
GMB,Low income,LOW_INCOME
GNB,Low income,LOW_INCOME
GNQ,Upper middle income,UPPER_MIDDLE_INCOME
GRC,High income,HIGH_INCOME
GRD,Upper middle income,UPPER_MIDDLE_INCOME
GRL,High income,HIGH_INCOME
GTM,Upper middle income,UPPER_MIDDLE_INCOME
GUM,High income,HIGH_INCOME
GUY,Upper middle income,UPPER_MIDDLE_INCOME
HIC,,
HKG,High income,HIGH_INCOME
HND,Lower middle income,LOWER_MIDDLE_INCOME
HPC,,
HRV,High income,HIGH_INCOME
HTI,Low income,LOW_INCOME
HUN,High income,HIGH_INCOME
IBD,,
IBT,,
IDA,,
IDB,,
IDN,Lower middle income,LOWER_MIDDLE_INCOME
IDX,,
IMN,High income,HIGH_INCOME
IND,Lower middle income,LOWER_MIDDLE_INCOME
IRL,High income,HIGH_INCOME
