CountryCode,Region,RegionID
ABW,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
AFG,South Asia,SOUTH_ASIA
AGO,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
ALB,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
AND,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
ARB,,
ARE,Middle East & North Africa,MIDDLE_EAST_&_NORTH_AFRICA
ARG,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
ARM,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
ASM,East Asia & Pacific,EAST_ASIA_&_PACIFIC
ATG,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
AUS,East Asia & Pacific,EAST_ASIA_&_PACIFIC
AUT,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
AZE,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
BDI,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
BEL,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
BEN,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
BFA,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
BGD,South Asia,SOUTH_ASIA
BGR,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
BHR,Middle East & North Africa,MIDDLE_EAST_&_NORTH_AFRICA
BHS,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
BIH,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
BLR,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
BLZ,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
BMU,North America,NORTH_AMERICA
BOL,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
BRA,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
BRB,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
BRN,East Asia & Pacific,EAST_ASIA_&_PACIFIC
BTN,South Asia,SOUTH_ASIA
BWA,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
CAF,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
CAN,North America,NORTH_AMERICA
CEB,,
CHE,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
CHI,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
CHL,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
CHN,East Asia & Pacific,EAST_ASIA_&_PACIFIC
CIV,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
CMR,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
COD,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
COG,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
COL,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
COM,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
CPV,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
CRI,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
CSS,,
CUB,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
CUW,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
CYM,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
CYP,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
CZE,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
DEU,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
DJI,Middle East & North Africa,MIDDLE_EAST_&_NORTH_AFRICA
DMA,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
DNK,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
DOM,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
DZA,Middle East & North Africa,MIDDLE_EAST_&_NORTH_AFRICA
EAP,,
EAR,,
EAS,,
ECA,,
ECS,,
ECU,Latin America & Caribbean,LATIN_AMERICA_&_CARIBBEAN
EGY,Middle East & North Africa,MIDDLE_EAST_&_NORTH_AFRICA
EMU,,
ERI,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
ESP,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
EST,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
ETH,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
EUU,,
FCS,,
FIN,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
FJI,East Asia & Pacific,EAST_ASIA_&_PACIFIC
FRA,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
FRO,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
FSM,East Asia & Pacific,EAST_ASIA_&_PACIFIC
GAB,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
GBR,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
GEO,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
GHA,Sub-Saharan Africa,SUB-SAHARAN_AFRICA
GIB,Europe & Central Asia,EUROPE_&_CENTRAL_ASIA
